Lines: 001339
User Defined	Macro	RRECT	
Digital by Number	40xx	4024	4024	*7-Stage Ripple Counter - type:digital pkg:DIP14 [DVDD=14;DGND=7;](1,2,12,11,9,6,5,4,3)
Digital by Number	40xx	4023	4023	*CMOS 3-input NAND - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:3,4,5,6)(B:1,2,8,9)(C:11,12,13,10)
Digital by Number	40xx	4022	4022	*Octal Counter - type:digital pkg:DIP16 [DVCC=16;DGND=8;](13,14,15,12,10,5,4,11,7,3,1,2)
Digital by Number	40xx	4021	4021	*8-bit Static Shift Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](1,15,14,13,4,5,6,7,9,11,10,2,12,3)
Digital by Number	40xx	4020	4020	*14-bit Binary Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](10,11,9,7,5,4,6,13,12,14,15,1,2,3)
Digital by Number	40xx	4019	4019	*Quadruple 2-input Multiplexer - type:digital pkg:DIP16 [DVDD=16;DGND=8;](15,2,4,6,1,3,5,7,9,14,10,11,12,3)
Digital by Number	40xx	4018	4018	*Presettable Dvide By N Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](12,9,7,3,2,1,10,14,15,5,4,6,11,13)
Digital by Number	40xx	4017	4017	*5-stage Johnson Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](13,14,15,3,2,4,7,10,1,5,6,9,11,12)
Digital by Number	40xx	4015	4015	*Dual 4-bit Static Shift Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](A:7,9,6,5,4,3,10)(B:15,1,14,13,12,11,2)
Digital by Number	40xx	4014	4014	*8-bit Static Shift Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](1,15,14,13,4,5,6,7,9,11,10,2,12,3)
Digital by Number	40xx	4013	4013	*Dual D type Flip-Flop - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:6,5,3,4,2,1)(B:8,9,11,10,12,13)
Digital by Number	40xx	4012	4012	*CMOS 4-input NAND - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:2,3,4,5,1)(B:9,10,11,12,13)
Digital by Number	40xx	4011	4011	*CMOS 2-in NAND - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,3)(B:5,6,4)(C:8,9,10)(D:12,13,11)
Digital by Number	40xx	4008	4008	*4-bit Binary Full Adder - type:digital pkg:DIP16 [DVDD=16;DGND=8;](1,3,5,7,15,2,4,6,9,10,11,12,13,14)
Digital by Number	40xx	4006	4006	*18-Stage Static Shift Register - type:digital pkg:DIP14 [DVDD=14;DGND=7;](1,5,4,6,3,9,8,12,11,10,13)
Digital by Number	40xx	4002	4002	*4-in NOR - type:digital pkg:DIP14 [DVCC=14;DGND=7;](2,3,4,5,1)(B:9,10,11,12,13)
